Date,Dealer,City,Model Year,Mileage,Trim,Price,Discount
2025-04-23,Bernardi Toyota,Framingham,2025,10.0,LE,33754,1095.3340000000026
2025-04-27,Bertera Subaru of Hartford,Hartford,2016,42743.0,SE,17495,1074.7112734958791
2025-04-13,Hartford Toyota Super Store,Hartford,2025,3.0,SE,34534,1073.791799999999
2025-04-23,McGee Toyota of Claremont,Claremont,2025,3.0,LE,33778,1071.800199999998
2025-04-24,McGee Toyota of Claremont,Claremont,2025,4.0,LE,33778,1071.7335999999996
2025-04-01,Lynch Toyota,Manchester,2022,31455.0,LE,23995,1067.8406889545222
2025-04-05,Hoffman Toyota,West Simsbury,2024,26359.0,LE,26900,1066.730644477262
2025-04-03,Atlantic Toyota,Lynn,2022,14438.0,SE,25900,1054.1644889545205
2025-04-16,AutoFair Toyota of Tewksbury,Tewksbury,2025,10.0,LE,33799,1050.3340000000026
2025-04-18,Nucar Toyota of Norwood,Norwood,2025,3.0,SE,34567,1040.791799999999
2025-04-23,Ira Toyota of Manchester,Manchester,2025,4.0,LE,33827,1022.7335999999996
2025-04-05,Woburn Toyota,Woburn,2025,7.0,XSE,38788,1013.0453999999954
2025-04-01,Copeland Toyota,Brockton,2018,64635.0,XLE,21495,995.126633431777
2025-04-12,North End Motors,Canton,2024,26102.0,LE,26990,993.8468444772624
2025-04-01,Lia Toyota of Wilbraham,Wilbraham,2022,23629.0,LE,24599,985.0522889545208
2025-04-02,Ira Mazda,Westwood,2019,93982.0,SE,17912,984.7386000555452
2025-04-09,Grieco Toyota,East Providence,2024,33840.0,LE,26488,980.4960444772624
2025-04-23,Flood Ford of East Greenwich,East Greenwich,2022,55369.0,LE,22500,970.1682889545192
2025-04-25,Wow Toyota of Wallingford,Wallingford,2025,1.0,LE,33893,956.9334000000016
2025-04-03,Herb Chambers Toyota of Auburn,Auburn,2017,25761.0,XSE,22998,948.6176789703168
2025-04-24,CarMax North Attleboro,North Attleboro,2021,13122.0,XLE,27998,943.482229018613
2025-04-12,Canobie Lake Toyota,Salem,2025,5.0,LE,33912,937.6670000000012
2025-04-17,Bernardi Toyota,Framingham,2025,10.0,LE,33937,912.3340000000026
2025-04-05,Ira Toyota of Manchester,Manchester,2025,6.0,XSE,38890,911.112000000001
2025-04-02,Hertz Car Sales Lynn,Lynn,2024,25753.0,SE,27876,889.0818444772631
2025-04-16,Canobie Lake Toyota,Salem,2025,5.0,LE,33969,880.6670000000013
2025-04-10,Bertera Dodge Chrysler Jeep Ram,Westfield,2023,35675.0,SE,25900,876.4489894851577
2025-04-11,CarMax Waterbury,Waterbury,2024,24133.0,SE,27998,874.9738444772629
2025-04-12,Bertera Chevrolet,Palmer,2017,59457.0,LE,15877,873.9524789703137
2025-04-05,Balise Toyota Springfield,West Springfield,2021,80517.0,SE,20399,869.9495290186169
2025-04-13,Ira Toyota of Manchester,Manchester,2019,113560.0,LE,15981,853.8522000555422
2025-04-15,Ira Toyota of Hyannis,Hyannis,2025,5.0,SE,34754,853.6586000000025
2025-04-23,Copeland Toyota,Brockton,2024,13335.0,LE,27995,839.1290444772603
2025-04-23,Tasca Ford Seekonk,Seekonk,2023,38448.0,LE,24998,835.775589485158
2025-04-09,CarMax North Attleboro,North Attleboro,2017,57551.0,XSE,20998,831.4036789703168
2025-04-25,Wow Toyota of Wallingford,Wallingford,2025,1.0,LE,34019,830.9334000000017
2025-04-15,1st International Auto Group,Merrimack,2016,105584.0,SE,13555,829.500673495877
2025-04-26,Bernardi Toyota,Framingham,2025,10.0,LE,34032,817.3340000000026
2025-04-16,Woburn Toyota,Woburn,2021,93395.0,SE,19595,816.2747290186162
2025-04-24,Nucar Toyota of Norwood,Norwood,2025,3.0,SE,34793,814.7917999999991
2025-04-24,777 Auto LLC,South Weymouth,2022,20690.0,LE,24995,784.7896889545191
2025-04-24,King Auto Sales,Medford,2017,138000.0,SE,11500,777.9802789703153
2025-04-05,Hoffman Toyota,West Simsbury,2024,30951.0,LE,26900,760.9034444772624
2025-04-24,Portland Volvo,Scarborough,2021,61129.0,XLE,24990,754.2160290186148
2025-04-15,Tasca Toyota Boston,Boston,2022,7290.0,LE,25921,751.2296889545214
2025-04-23,Stephen Auto Mall,Bristol,2024,12494.0,SE,28898,750.131244477263
2025-03-31,Acton Toyota of Littleton,Littleton,2016,107782.0,SE,13500,738.1138734958768
2025-04-11,Wiz Autos,Stratford,2024,12872.0,SE,28896,726.9564444772623
2025-04-02,Bernardi Toyota,Framingham,2023,19644.0,SE,27121,723.1135894851577
2025-04-10,Balise Toyota Springfield,West Springfield,2023,58399.0,XSE,28749,707.5505894851558
2025-04-13,Ira Toyota of Manchester,Manchester,2025,5.0,XLE,38089,702.6843000000008
2025-04-09,Grieco Toyota,East Providence,2022,23125.0,SE,25688,687.6102889545218
2025-04-26,AGM Auto Sales,Malden,2023,52135.0,SE,24999,681.2129894851605
2025-04-09,Middletown Toyota,Middletown,2024,45831.0,LE,25990,679.8954444772608
2025-04-23,Audi Peabody,Peabody,2019,83565.0,SE,18920,670.5108000555447
2025-04-13,Nucar Toyota of North Kingstown,North Kingstown,2022,23987.0,LE,24891,669.2094889545187
2025-04-12,Parkway Toyota of Boston,West Roxbury,2023,51370.0,LE,24313,660.1703894851598
2025-04-09,Toyota of Nashua,Nashua,2019,105829.0,SE,17450,657.7284000555446
2025-04-26,CarMax Norwood,Norwood,2018,62538.0,XSE,22998,641.2811334317812
2025-04-12,Toyota of Braintree,Braintree,2021,8380.0,LE,24695,620.2821290186148
2025-04-26,Lia Toyota of Wilbraham,Wilbraham,2019,83347.0,SE,18995,610.0296000555463
2025-04-12,Haddad Hyundai,Pittsfield,2024,26733.0,LE,27333,608.8222444772618
2025-04-06,Toyota of Nashua,Nashua,2025,1.0,XSE,39199,602.4449999999997
2025-04-23,Woburn Toyota,Woburn,2025,7.0,XSE,39223,578.0453999999954
2025-04-05,Hoffman Toyota,West Simsbury,2024,33753.0,LE,26900,574.2902444772626
2025-04-16,Copeland Toyota,Brockton,2023,53804.0,SE,24995,574.0575894851572
2025-04-05,Copeland Toyota,Brockton,2023,54141.0,SE,24995,551.6133894851591
2025-04-02,"State Line Auto Brokers, Inc",Attleboro,2020,70185.0,SE,19995,551.0576339624204
2025-04-17,McGovern Kia of Norwood,Norwood,2019,74288.0,LE,18900,550.3674000555438
2025-04-23,Ira Toyota of Manchester,Manchester,2025,6.0,SE,35069,538.5920000000042
2025-04-23,Grieco Toyota,East Providence,2022,23745.0,XLE,28988,530.3439889545189
2025-04-04,Herb Chambers Lexus,Sharon,2019,114548.0,SE,16998,529.0430000555425
2025-04-23,Copeland Toyota,Brockton,2023,54543.0,SE,24995,524.8401894851595
2025-04-16,Canobie Lake Toyota,Salem,2022,32040.0,LE,24500,523.8796889545192
2025-04-17,Hartford Toyota Super Store,Hartford,2022,38171.0,LE,24096,519.5550889545193
2025-04-04,McGee Toyota of Epping,Epping,2025,1.0,XLE,38279,512.9507000000012
